file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,0,4
style.css,2,css,d7be91f1,viela-la,2026-05-08,13:21:24,-07:00,2026-05-08T13:21:24-07:00,1,22
style.css,3,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,1,32
style.css,4,css,339180c5,viela-la,2026-04-15,18:19:06,-07:00,2026-04-15T18:19:06-07:00,1,18
style.css,5,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,0,0
style.css,6,css,c0d59d65,viela-la,2026-03-31,20:28:44,-07:00,2026-03-31T20:28:44-07:00,0,4
style.css,7,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,1,44
style.css,8,css,c0d59d65,viela-la,2026-03-31,20:28:44,-07:00,2026-03-31T20:28:44-07:00,0,42
style.css,9,css,c0d59d65,viela-la,2026-03-31,20:28:44,-07:00,2026-03-31T20:28:44-07:00,0,0
style.css,10,css,c0d59d65,viela-la,2026-03-31,20:28:44,-07:00,2026-03-31T20:28:44-07:00,1,23
style.css,11,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,1,15
style.css,12,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,1,18
style.css,13,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,1,12
style.css,14,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,0,0
style.css,15,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,0,3
style.css,16,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,1,12
style.css,17,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,1,54
style.css,18,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,0,0
style.css,19,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,0,1
style.css,20,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,1,6
style.css,21,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,1,20
style.css,22,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,1,13
style.css,23,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,1,17
style.css,24,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,1,13
style.css,25,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,0,0
style.css,26,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,0,13
style.css,27,css,339180c5,viela-la,2026-04-15,18:19:06,-07:00,2026-04-15T18:19:06-07:00,1,62
style.css,28,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,0,0
style.css,29,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,0,11
style.css,30,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,1,45
style.css,31,css,339180c5,viela-la,2026-04-15,18:19:06,-07:00,2026-04-15T18:19:06-07:00,1,69
style.css,32,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,0,0
style.css,33,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,0,4
style.css,34,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,1,12
style.css,35,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,1,30
style.css,36,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,1,7
style.css,37,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,1,12
style.css,38,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,0,0
style.css,39,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,0,5
style.css,40,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,1,12
style.css,41,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,1,29
style.css,42,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,1,16
style.css,43,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,0,0
style.css,44,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,0,14
style.css,45,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,1,13
style.css,46,css,83841b55,viela-la,2026-04-08,13:38:50,-07:00,2026-04-08T13:38:50-07:00,0,0
